,addresse,prix,date_vente,details
106,"62 RUE DE LA REVOLUTION
93100 MONTREUIL","765 000€
7 727€/m²","Vendu le 18/04/2016
Analyser ce bien",Maison 5 pièces99m²149m²
107,"9 VLA QUINCY
92170 VANVES","1 014 300€
10 906€/m²","Vendu le 14/04/2016
Analyser ce bien",Maison 6 pièces93m²167m²
108,"16 PAS POUCHET
75017 PARIS","1 850 000€
6 379€/m²","Vendu le 19/02/2016
Analyser ce bien",Maison 6 pièces290m²136m²
109,"67 RUE BENOIT MALON
94250 GENTILLY","466 000€
5 683€/m²","Vendu le 20/01/2016
Analyser ce bien",Maison 5 pièces82m²0m²
110,"17 RUE DES GRAVIERS
93400 SAINT-OUEN-SUR-SEINE","210 000€
5 250€/m²","Vendu le 23/12/2015
Analyser ce bien",Maison 3 pièces40m²113m²
111,"4B RUE MARCEAU
93100 MONTREUIL","704 312€
6 288€/m²","Vendu le 17/12/2015
Analyser ce bien",Maison 3 pièces112m²251m²
112,"36 RUE IRENEE BLANC
75020 PARIS","767 284€*
7 673€/m²","Vendu le 17/12/2015
Analyser ce bien",Maison 4 pièces100m²96m²*
113,"5 AV SPINOZA
94200 IVRY-SUR-SEINE","900 000€
9 000€/m²","Vendu le 30/10/2015
Analyser ce bien",Maison 5 pièces100m²246m²
114,"57 RUE RAYMOND LEFEBVRE
94250 GENTILLY","633 000€
5 602€/m²","Vendu le 28/10/2015
Analyser ce bien",Maison 7 pièces113m²150m²
115,"3 ALL VERHAEREN
75014 PARIS","1 950 000€
13 929€/m²","Vendu le 18/09/2015
Analyser ce bien",Maison 6 pièces140m²408m²
116,"108 RUE DE VINCENNES
93100 MONTREUIL","900 000€
6 429€/m²","Vendu le 18/09/2015
Analyser ce bien",Maison 5 pièces140m²301m²
117,"3 RUE DIEULAFOY
75013 PARIS","1 358 000€
9 631€/m²","Vendu le 25/08/2015
Analyser ce bien",Maison 6 pièces141m²103m²
118,"13 RUE CHALETS
93230 ROMAINVILLE","283 000€
3 369€/m²","Vendu le 17/08/2015
Analyser ce bien",Maison 3 pièces84m²209m²
119,"43 RUE JEAN MOULIN
94300 VINCENNES","1 200 000€
14 634€/m²","Vendu le 14/08/2015
Analyser ce bien",Maison 4 pièces82m²201m²
120,"39 AV G CLEMENCEAU
93260 LES LILAS","676 000€
5 496€/m²","Vendu le 07/08/2015
Analyser ce bien",Maison 5 pièces123m²211m²
121,"26 RUE EMILE ZOLA
93400 SAINT-OUEN-SUR-SEINE","590 000€
4 958€/m²","Vendu le 29/07/2015
Analyser ce bien",Maison 3 pièces119m²0m²
122,"181 RUE DE PARIS
93100 MONTREUIL","455 000€
7 222€/m²","Vendu le 24/07/2015
Analyser ce bien",Maison 2 pièces63m²0m²
123,"11T RUE DU CLOS MONTHOLON
92140 CLAMART","248 242€*
2 758€/m²","Vendu le 23/07/2015
Analyser ce bien",Maison 4 pièces90m²44m²*
124,"13 RUE PHILIPPE HECHT
75019 PARIS","1 260 000€
7 241€/m²","Vendu le 10/07/2015
Analyser ce bien",Maison 7 pièces174m²97m²
125,"7 AV FRANKLIN ROOSEVELT
94300 VINCENNES","238 000€
10 348€/m²","Vendu le 06/07/2015
Analyser ce bien",Maison 1 pièce23m²0m²
126,"103 RUE VICTOR HUGO
94200 IVRY-SUR-SEINE","390 000€
13 000€/m²","Vendu le 02/07/2015
Analyser ce bien",Maison 2 pièces30m²128m²
127,"148 AV DU BELVEDERE
93310 LE PRÉ-SAINT-GERVAIS","600 000€
4 839€/m²","Vendu le 30/06/2015
Analyser ce bien",Maison 7 pièces124m²389m²
128,"78 RUE PARIS
93230 ROMAINVILLE","424 000€
4 659€/m²","Vendu le 11/06/2015
Analyser ce bien",Maison 4 pièces91m²302m²
129,"40 RUE DENIS PAPIN
94200 IVRY-SUR-SEINE","410 000€
6 308€/m²","Vendu le 03/06/2015
Analyser ce bien",Maison 3 pièces65m²318m²
130,"18 RUE ANTOINE ROUCHER
75016 PARIS","5 000 000€
18 657€/m²","Vendu le 22/05/2015
Analyser ce bien",Maison 9 pièces268m²363m²
131,"17 RUE HOCHE
93500 PANTIN","420 192€*
4 567€/m²","Vendu le 21/05/2015
Analyser ce bien",Maison 6 pièces92m²0m²
132,"74 RUE EUGENE BERTHOUD
93400 SAINT-OUEN-SUR-SEINE","340 000€
4 857€/m²","Vendu le 12/05/2015
Analyser ce bien",Maison 4 pièces70m²75m²
133,"16B RUE COLMET LEPINAY
93100 MONTREUIL","343 944€*
5 732€/m²","Vendu le 29/04/2015
Analyser ce bien",Maison 3 pièces60m²88m²*
134,"15 RUE TOFFIER DECAUX
93500 PANTIN","116 346€*
5 288€/m²","Vendu le 24/03/2015
Analyser ce bien",Maison 2 pièces22m²49m²*
135,"20 RUE PARMENTIER
93100 MONTREUIL","650 000€
12 500€/m²","Vendu le 04/03/2015
Analyser ce bien",Maison 3 pièces52m²223m²
136,"17 RUE RENE VILLARS
94200 IVRY-SUR-SEINE","519 000€
9 268€/m²","Vendu le 16/01/2015
Analyser ce bien",Maison 3 pièces56m²225m²
137,"46 RUE DES ENTREPOTS
93400 SAINT-OUEN-SUR-SEINE","81 897€*
3 276€/m²","Vendu le 15/12/2014
Analyser ce bien",Maison 2 pièces25m²24m²*
138,"24 RUE VICTOR HUGO
93000 BOBIGNY","225 000€
2 679€/m²","Vendu le 21/11/2014
Analyser ce bien",Maison 4 pièces84m²269m²
139,"52 RUE DES CHAMPS ELYSEES
94110 ARCUEIL","232 000€
6 444€/m²","Vendu le 21/10/2014
Analyser ce bien",Maison 2 pièces36m²157m²
140,"9 RUE GUY MOQUET
92240 MALAKOFF","622 000€
17 771€/m²","Vendu le 29/07/2014
Analyser ce bien",Maison 2 pièces35m²165m²
141,"8 RUE DE PARIS
94220 CHARENTON-LE-PONT","485 000€
6 299€/m²","Vendu le 24/07/2014
Analyser ce bien",Maison 4 pièces77m²0m²
142,"9 RUE GUYNEMER
94160 SAINT-MANDÉ","1 300 000€
8 667€/m²","Vendu le 18/07/2014
Analyser ce bien",Maison 6 pièces150m²194m²
143,"11 CITE DES FOYERS
93500 PANTIN","400 000€
5 797€/m²","Vendu le 16/07/2014
Analyser ce bien",Maison 5 pièces69m²155m²
144,"8 RUE DES MESSIERS
93100 MONTREUIL","540 000€
6 353€/m²","Vendu le 01/07/2014
Analyser ce bien",Maison 4 pièces85m²130m²
145,"35 RUE RENE VILLARS
94200 IVRY-SUR-SEINE","464 474€
7 146€/m²","Vendu le 03/06/2014
Analyser ce bien",Maison 3 pièces65m²306m²
146,"11 RUE DE LA CLEF
75005 PARIS","143 027€*
954€/m²","Vendu le 28/04/2014
Analyser ce bien",Maison 2 pièces150m²0m²
147,"12 BD DE VERDUN
92400 COURBEVOIE","200 000€*
4 167€/m²","Vendu le 26/03/2014
Analyser ce bien",Maison 3 pièces48m²80m²*
148,"6 IMP CLOS MONTHOLON
92170 VANVES","347 410€
6 812€/m²","Vendu le 17/02/2014
Analyser ce bien",Maison 3 pièces51m²147m²
149,"5 VLA MURAT
75016 PARIS","980 000€
11 529€/m²","Vendu le 17/01/2014
Analyser ce bien",Maison 4 pièces85m²114m²
