,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
82,TRÈS BON ÉTAT,42,"VILLIERS-SUR-MARNE, FRANCE",MANOUKIAN ,M / 38 / 10,2022-04-04 14:25:07.149881,Pull femme Alain Manoukian,17.0,Tres bon etat taille M
83,NEUF AVEC ÉTIQUETTE,82,FRANCE,JAMES & NICHOLSON ,XXL,2022-03-18 14:25:07.149884,Sweat pull hoodie,24.0,"PAS DE PHOTO PORTÉ. Vêtements Neuf et emballé, il est impeccable. Épaule à épaule 60cm. Aisselles à aisselles 63cm. Dos 73cm. Manche 62cm."
84,NEUF SANS ÉTIQUETTE,58,"LIFFOL-LE-GRAND, FRANCE",CACHE CACHE ,S / 36 / 8,2022-03-31 14:25:07.149886,Pull vert amande,14.0,"Neuf sans étiquette, bien chaud envoi uniquement par mondial relay ou UPS merci 🙂"
85,BON ÉTAT,17,"AILLY-SUR-NOYE, FRANCE",KIABI ,10 ANS / 134-140 CM,2022-04-02 14:25:07.149889,Pull fille bleu,4.0,"Peut abîmé, porté peut de fois ."
86,TRÈS BON ÉTAT,145,"VILLANDRY, FRANCE",MISS CAPTAIN ,M / 38 / 10,2022-03-12 14:25:07.149892,Joli pull fin Miss Captain bronze,12.0,"Très bon état 
Fils de lurex dorés 
Empiècements dentelle noire aux épaules 
Taille grand"
87,NEUF SANS ÉTIQUETTE,23,FRANCE,VINTAGE ,S / 36 / 8,2022-04-02 14:25:07.149894,Superbe pull tricoté mains,17.0,"Superbe pull tricoté mains
Vert et noir
Convient à un 36/38
Jamais porté
Trop petit pour moi"
88,TRÈS BON ÉTAT,36,FRANCE,VINTAGE ,L / 40 / 12,2022-04-02 14:25:07.149897,Très joli pull brodé,16.0,"Très joli pull brodé
Vintage
Contient de la laine
Couleur crème 
Largeur d'épaule à épaule 40 cm
Largeur d'aisselle à aisselle 47 cm
Longueur des manches 58 cm
Longueur totale 60 cm
Convient pour un 38/40"
89,TRÈS BON ÉTAT,124,"BREBIÈRES, FRANCE",SÉZANE ,M / 38 / 10,2022-04-04 14:25:07.149899,Pull Sézane Taille M,35.0,porté quelques fois 2/3
90,NEUF SANS ÉTIQUETTE,31,"TOURS, FRANCE",,S / 36 / 8,2022-04-04 14:25:07.149902,Pull blanc,10.0,comme neuf
91,TRÈS BON ÉTAT,17,"TOURS, FRANCE",,S / 36 / 8,2022-04-04 14:25:07.149904,Pull colle roulé noir,7.0,colle roulé noir comme neuf
92,TRÈS BON ÉTAT,554,FRANCE,STONE ISLAND ,S,2022-03-31 14:25:07.149906,Pull Stone Island Noir,160.0,"Bonjour je vends mon Pull Stone Island Noir

Taille S

Déjà porté plusieurs fois mais en bon état

Vendu avec facture et étiquette d'achat"
93,NEUF SANS ÉTIQUETTE,271,"MATZENHEIM, FRANCE",PULL & BEAR ,L / 40 / 12,2022-03-30 14:25:07.149909,Pull bleu,15.0,"je l’ai porté quelques fois, mais malheureusement trop petit au niveau des bras, taille plutôt en M.(je fais 1m80. Je suis très déçu que le pull soit trop petit, je pense le recommandé en une taille au-dessus."
94,TRÈS BON ÉTAT,105,"PARIS, FRANCE",PETITE MENDIGOTE ,S / 36 / 8,2022-03-26 14:25:07.149912,Pull blanc ajouré col v boutonné,60.0,Pull ajouré avec col V boutonné . Porté une seule fois. Collection hiver 2022
95,TRÈS BON ÉTAT,446,"PARIS, FRANCE",& OTHER STORIES ,S / 36 / 8,2022-04-04 14:25:07.149914,Pull &other stories,20.0,Taille S en tres bon état
96,TRÈS BON ÉTAT,787,"PARIS, FRANCE",AMERICAN VINTAGE ,S / 36 / 8,2022-04-04 14:25:07.149916,Pull American Vintage,17.0,"Pull de la marque American vintage en trés bon état 
Taille S
Longueur :67cm
Sous les aisselles :53cm
Les manches du cou au poignet 81cm"
97,TRÈS BON ÉTAT,633,"PARIS, FRANCE",& OTHER STORIES ,L / 40 / 12,2022-04-04 14:25:07.149919,Pull &other stories,12.0,"En très bon état couleur noir/bleu metalisé
Longueu:67cm
Sous les aisselles:78
Les manches:57
De l'épaule à l'épaule:71cm
83%coton
11%polyester
6%fibre métallisée"
98,TRÈS BON ÉTAT,369,"PARIS, FRANCE",& OTHER STORIES ,S / 36 / 8,2022-04-04 14:25:07.149921,Sweat pulll &other stories,15.0,"Taille S en trés bon état 
Motif broderie"
