,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
40,TRÈS BON ÉTAT,58,"ROCHECORBON, FRANCE",NIKE ,37,2022-04-04 15:23:58.480566,Baskets,45.0,excellent état
41,TRÈS BON ÉTAT,7,"LIÈGE, BELGIQUE / BELGIË",TOD'S ,37,2022-04-04 15:23:58.480568,Baskets tod's,99.0,"Très bon état
Achetées 400 euros"
42,TRÈS BON ÉTAT,62,FRANCE,VANS ,37,2022-04-01 15:23:58.480570,Baskets Vans,50.0,"Baskets Vans rose pâle. En bi-matière avec du tissus et de la suédine. Très bon état, je les ai porté quelques fois. Elles ont quelques traces de gomme sur la semelle. (voir photos)"
43,TRÈS BON ÉTAT,62,FRANCE,NIKE ,36,2022-04-04 15:23:58.480573,Baskets Nike,35.0,très bon état authentique et mixte va pour une femme ou enfant
44,TRÈS BON ÉTAT,92,FRANCE,LE LISSIER ,37,2022-04-01 15:23:58.480575,Baskets Le Lissier impeccables,90.0,"état impeccable 
tissu sans aucune tache ni rayure 
prix neuf 159 €!"
45,NEUF AVEC ÉTIQUETTE,128,"JOUY-LE-MOUTIER, FRANCE",LACOSTE ,40.5,2022-04-04 15:23:58.480578,Baskets Lacoste,89.0,"Baskets Lacoste Neuves avec étiquette et facture.
Achetées 99.99 euros.
Taille 40.5
Je les vends car trop grandes.
Envoi rapide et soigné."
46,NEUF AVEC ÉTIQUETTE,116,FRANCE,PUMA ,36,2022-04-01 15:23:58.480580,baskets Puma taille 36 neuves,59.0,"toutes neuves
taille 36"
47,NEUF AVEC ÉTIQUETTE,57,FRANCE,ADIDAS ,38.5,2022-04-02 15:23:58.480583,Baskets Adidas Team court J,45.0,"Baskets #adidas team court J 
Noir et blanche 
Neuf avec étiquette 
Taille 38.2/3 
Dans sa boîte d’origine 

#adidasoriginals 
#adidasteamcourt"
48,TRÈS BON ÉTAT,94,"RAVILLE, FRANCE",KARL LAGERFELD ,38,2022-04-02 15:23:58.480585,Baskets karl lagerdeld,45.0,"Très bon état
Mini griffe sur l'avant 
Taille 38
Pas de boite d'origine"
49,TRÈS BON ÉTAT,22,BELGIQUE / BELGIË,K-SWISS ,42.5,2022-04-04 15:23:58.480588,Baskets KSwiss,18.0,"Baskets KSwiss
Blanches, brunes et noires
Très peu portées
Taille 42,5"
