,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
92,NEUF SANS ÉTIQUETTE,219,"ROCHE-EN-RÉGNIER, FRANCE",RALPH LAUREN ,S,2022-04-01 18:58:12.711822,T-shirt Ralph Lauren,22.0,"Très peu porté, très bon état"
93,NEUF AVEC ÉTIQUETTE,56,"PARIS, FRANCE",LACOSTE ,L,2022-03-28 18:58:12.711825,Tee-shirt Lacoste Taille L,45.0,"Tee-shirt LACOSTE 
Taille 5/L
Couleur Rose
100% Coton
Neuf avec étiquettes, jamais porté."
94,NEUF SANS ÉTIQUETTE,12,"LES SABLES-D'OLONNE, FRANCE",TEDDY SMITH ,XS,2022-03-29 18:58:12.711828,polo teddy smith XS,7.5,polo teddy smith en XS je l'ai porte 4-5fois.
95,TRÈS BON ÉTAT,24,"VIGNACOURT, FRANCE",H&M ,13 ANS / 152-158 CM,2022-04-04 18:58:12.711831,Lot de 2 t-shirt H&M,5.0,"lot de 2 t shirt 
marque H&M
taille 12/14 ans
1 marine 
1 blanc 
col V
très bon état"
96,TRÈS BON ÉTAT,161,"VIGNACOURT, FRANCE",IKKS ,M / 38 / 10,2022-04-04 18:58:12.711833,Haut ikks,2.0,"haut 
ikks 
vert d eau 
taille 38
pressionné col V manches elastiquées
très bon état"
97,TRÈS BON ÉTAT,8,"VIGNACOURT, FRANCE",HOLLISTER ,S,2022-03-21 18:58:12.711837,T shirt Hollister. S,5.0,"t-shirt 
rouge 
marque HOLLISTER 
taille S
très bon état"
98,TRÈS BON ÉTAT,9,"VIGNACOURT, FRANCE",PETROL INDUSTRIES ,16 ANS / 170-176 CM,2022-03-21 18:58:12.711840,T-shirt Pétrol 176cm,7.0,"t shirt 
blanc 
taille 176cm(correspond à un 16 ans ou un xs)
excellent état"
99,TRÈS BON ÉTAT,8,"VIGNACOURT, FRANCE",KIABI ,S,2022-03-21 18:58:12.711843,T shirt Kiabi taille S,2.0,"t shirt 
marque KIABI 
taille S
couleur rouille 
très bon état"
100,TRÈS BON ÉTAT,3,"SAINT-GENIS-LAVAL, FRANCE",GAP ,S,2022-04-02 18:58:12.711846,T-shirt blanc uni,2.0,"Porté quelques fois, trop petit pour moi maintenant."
101,NEUF SANS ÉTIQUETTE,432,"VOUILLÉ, FRANCE",THE NORTH FACE ,M,2022-03-29 18:58:12.711848,T-shirt The North Face,39.0,"T-shirt à manche longues The north Face
🔅Jamais porté 
🔅Condition 10/10
🔅Authentique 
N’hésitez pas si vous avez d’autres questions😊"
