,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
74,TRÈS BON ÉTAT,242,FRANCE,MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177634,T-shirt oversize noir MissGuided,3.0,"T-shirt robe oversize noir MissGuided (ceinture non fournie), très bon état, taille M"
75,TRÈS BON ÉTAT,3,"SÈTE, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177636,T-shirt dos nu kaki missguided,6.0,quasiment jamais porté
76,NEUF SANS ÉTIQUETTE,5,BELGIQUE / BELGIË,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177638,T-shirt Missguided,4.0,Niet gedragen
77,TRÈS BON ÉTAT,6,"PARIS, FRANCE",MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177641,T-shirt missguided,9.0,"T-shirt manches courtesnoire « thrasher » noire 
Missguided 
Taille : 38/M
Portée2 fois 
Mixte pour homme et femme"
78,NEUF SANS ÉTIQUETTE,10,"'S-GRAVENHAGE, NEDERLAND",MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177643,Missguided T-shirt met Print,8.5,Maat M
79,BON ÉTAT,3,"LORIENT, FRANCE",MISSGUIDED ,M,2022-05-03 18:19:21.177645,T-shirt Missguided,1.0,"Long 
Porté quelques fois"
80,NEUF SANS ÉTIQUETTE,14,"EINDHOVEN, NEDERLAND",MISSGUIDED ,XS / 34 / 6,2022-05-12 18:19:21.177648,Missguided T-Shirt,5.0,Twee kleurig oversized t-shirt van Missguided. Valt dus ruimer.
81,NEUF SANS ÉTIQUETTE,5,"MARLY-LA-VILLE, FRANCE",MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177650,T shirt Missguided taille 38 kaki,4.0,t shirt Missguided jamais porté taille 38 kaki
82,TRÈS BON ÉTAT,10,"CRAPONNE, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177652,t-shirt long blanc missguided,6.5,t-shirt blanc long avec dessin en taille S
83,TRÈS BON ÉTAT,26,"LYON 01, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177655,T-shirt Missguided,7.0,"T-shirt Missguided en parfait état, porté une ou deux fois"
84,NEUF SANS ÉTIQUETTE,3,"PANNES, FRANCE",MISSGUIDED ,XS / 34 / 6,2022-05-12 18:19:21.177657,T-shirt missguided,5.0,taille large
85,TRÈS BON ÉTAT,40,"NÎMES, FRANCE",MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177659,T-shirt missguided,10.0,taille M
86,TRÈS BON ÉTAT,49,FRANCE,MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177662,T-shirt / Tunique noir - Missguided,8.0,"🤩 t-shirt/ tunique noir 
🏷 marque Missguided

LR"
